doc_id	lo	hi	n_lines	mx	es	other
228	101534575	101539949	5375	225	21	0
229	101696000	101697199	1200	56	7	0
230	101871875	101872899	1025	63	6	0
231	101987925	101993499	5575	319	29	0
232	102063300	102068874	5575	251	25	0
233	102076850	102078149	1300	96	5	0
234	102272000	102273449	1450	118	12	0
235	102325050	102326699	1650	41	8	0
236	102539675	102542824	3150	50	14	0
237	102548250	102548574	325	8	2	0
238	102593925	102598874	4950	243	17	2
239	102680300	102680949	650	50	5	0
240	102799125	102801999	2875	69	12	1
241	102802750	102803249	500	16	3	0
242	102899800	102900924	1125	26	4	0
243	103000700	103004999	4300	113	25	0
244	103326800	103331049	4250	306	19	9
